,x,y,z,vx,vy,vz,roll,pitch,yaw
0.1825,-0.0004452656342906128,0.00022277585638265512,10.044493754976175,-0.009766777396447325,0.004888100839511592,0.4875901954008396,-0.006441956285533568,-0.006441822974136091,2.0718816387985816e-05
0.1826,-0.00044624231203025755,0.00022326466646660628,10.044542513995715,-0.009782830690377775,0.004896140415425825,0.4878571803456427,-0.006449016158897702,-0.006448882408539802,2.0764269620898175e-05
0.1827,-0.0004472205950992953,0.00022375428050814885,10.04459129971375,-0.009798901548080613,0.004904188801589986,0.4881241651768715,-0.006456079899209488,-0.0064559457086872385,2.0809797601506014e-05
0.18280000000000002,-0.0004482004852541034,0.00022424469938830786,10.044640112130267,-0.009814989979110724,0.004912246002828161,0.4883911498943394,-0.006463147506470257,-0.006463012874577512,2.085540041172024e-05
0.1829,-0.00044918198425201447,0.00022473592398859069,10.044688951245256,-0.00983109599302289,0.004920312023964436,0.4886581344978594,-0.00647021898068223,-0.006470083906209734,2.090107813349664e-05
0.183,-0.00045016509385131673,0.00022522795519098714,10.044737817058705,-0.00984721959937178,0.004928386869822893,0.48892511898724444,-0.006477294321847182,-0.006477158803583016,2.0946830848835894e-05
0.1831,-0.0004511498158112539,0.00022572079387796944,10.044786709570603,-0.009863360807711965,0.004936470545227614,0.48919210336230723,-0.006484373529966447,-0.006484237566696471,2.099265863978356e-05
0.1832,-0.0004521361518920251,0.0002262144409324922,10.04483562878094,-0.009879519627597902,0.004944563055002677,0.4894590876228602,-0.006491456605042245,-0.006491320195549211,2.1038561588430084e-05
0.18330000000000002,-0.0004531241038547849,0.00022670889723799248,10.044884574689702,-0.009895696068583943,0.004952664403972158,0.48972607176871574,-0.006498543547075908,-0.006498406690140346,2.1084539776910797e-05
0.1834,-0.0004541136734616433,0.0002272041636783897,10.044933547296878,-0.009911890140224335,0.00496077459696013,0.48999305579968583,-0.006505634356069656,-0.006505497050468989,2.1130593287405917e-05
